ts	phase	decision	why	evidence	result
2026-08-15T03:24Z	experiment	Pin origin album row on Back; pointer-events none on VT overlay	back() pins albumId before remount. Grid rangeExtractor includes that row on first commit. ::view-transition* pointer-events:none so live controls receive in-flight clicks. No skipTransition. No ignore-gate. No keep-alive.	src/features/library/collectionReturnPin.ts; ResponsiveVirtualGrid pinnedItemKey; styles.css	kept
2026-08-15T03:24Z	verify	Cmd+R pid=3626 then Open/Back twice, settled artist, interrupt	Vite reload via Cmd+R + touch index.html. Doctor connected=true Loading false.	output/verify-coda/20260815T0324Z-pin-and-overlay/00-doctor.txt	reload recorded
2026-08-15T03:24Z	measure	Open intact; pin did not beat AX Back; overlay click reached artist	open-1 68.5ms Back=true Open HX.26=false. Back-1 306.8ms polls=1. open-2 33.5ms. Back-2 366.0ms. vs 277–307ms: first in band, second slower. Settled artist 180.9ms. Interrupt during morph: Knxwledge 287.7ms Back=true not 8s Collection fail. All releases restored. n=1 AX pid=3626.	output/verify-coda/20260815T0324Z-pin-and-overlay	Open ok; overlay click win; Back AX unchanged
2026-08-15T03:24Z	audit	Goal not complete	Keep-alive out. Pin does not move AX for first-row HX.26 (polls=1). Desktop RM unverified. Compositor paint unverified. interrupt wait. No ignore-gate. NowPlayingView untouched. Collection still remounts.	output/verify-coda/20260815T0324Z-pin-and-overlay	open


2026-08-15T03:26Z	experiment	Revert origin-album-row pin; keep VT overlay pointer-events none and live-pane close	Pin did not beat AX Back (HX.26 already first-row). Back-2 was 366ms vs 277–307ms floor. Overlay CSS made in-flight Knxwledge land at 287.7ms. No keep-alive. No ignore-gate. interrupt wait.	src/features/library/collectionReturnPin.ts deleted; useDetailNavigationController; ResponsiveVirtualGrid; styles.css ::view-transition*	reverted pin; overlay kept
2026-08-15T03:26Z	verify	Cmd+R pid=3626 after disk revert; Vite still served pin; cache-bust then Cmd+R again	First reload hung Back 8s (deleted module still imported). touch controller+index.html then curl had no pin. Doctor connected=true pid=3626.	output/verify-coda/20260815T0326Z-pin-reverted/37-doctor.txt	reload recorded after cache bust
2026-08-15T03:26Z	measure	Open intact; remount Back band restored after pin revert	open-1 38.4ms Back=true Open HX.26=false. Back-1 310.3ms. open-2 58.7ms. Back-2 322.9ms All releases 1909 restored. Did not hang. vs pin Back-2 366ms. n=1 AX pid=3626.	output/verify-coda/20260815T0326Z-pin-reverted	Open ok; Back remount band
2026-08-15T03:26Z	audit	Goal not complete	Keep-alive out. Pin stays out. Overlay CSS kept. Live-pane close kept. Desktop RM unverified. Compositor paint unverified. interrupt wait. No ignore-gate. NowPlayingView untouched. Collection still remounts; AX Back ~310–323ms first paint.	output/verify-coda/20260815T0326Z-pin-reverted	open
2026-08-15T03:36Z	experiment	Prefetch visible album tracks; compositor-only queue drawer; cap leftover 300ms detail surface	Cold Open armed Loading and swallowed clicks. Drawer transitioned height. Detail surface CSS still 300ms after spring caps. No keep-alive. No origin pin. interrupt wait.	useLibraryActionsController prefetchVisibleAlbums; ResponsiveVirtualGrid onVisibleItems; drawer.tsx; styles.css coda-detail-surface-in	kept
2026-08-15T03:36Z	verify	Cmd+R pid=3626 then Open/Back twice	Vite reload via Cmd+R + touch index.html. Doctor connected=true Loading HX.26=false.	output/verify-coda/20260815T0336Z-visible-prefetch/00-doctor.txt	reload recorded
2026-08-15T03:36Z	measure	Open intact without Loading spinner; remount Back band unchanged	open-1 66.3ms Back=true Open HX.26=false Loading=false. Back-1 315.5ms. open-2 26.8ms Loading=false. Back-2 286.8ms All releases 1909 restored. Did not hang. n=1 AX pid=3626.	output/verify-coda/20260815T0336Z-visible-prefetch	Open ok; Loading false; Back remount
2026-08-15T03:36Z	audit	Goal not complete	Keep-alive out. Pin out. Overlay CSS kept. Live-pane close kept. Visible prefetch landed. Desktop RM unverified. Compositor paint unverified. interrupt wait. No ignore-gate. NowPlayingView untouched. Collection still remounts; AX Back ~287–316ms.	output/verify-coda/20260815T0336Z-visible-prefetch	open
2026-08-15T03:41Z	experiment	Cut Collection Back first commit without keep-alive or pin	Warm card covers stay lazy/async on remount (no sync-decode). Live-pane close is transform-only opacity 1 and resolves after Collection commit instead of awaiting the 195ms spring. Drop aria-live on Collection/Recent/Artist grids so remount is not a live-region AX blast. Open HX.26 still required.	CoverArt.tsx; viewTransitions.ts; CollectionScreen.tsx; RecentScreen.tsx; ArtistScreen.tsx	kept
2026-08-15T03:41Z	verify	Cmd+R pid=3626 then Open/Back twice with both Back-wait and title rulers	Vite page reload index.html at 9:41:37 PM. Doctor connected=true Loading HX.26=false Open HX.26 present All releases 1909.	output/verify-coda/20260815T0341Z-first-commit-cut/00-doctor.txt	reload recorded
2026-08-15T03:41Z	measure	Open intact on title ruler; Back still first-walk ~272–307ms	open-first-album 46.9ms / 32.0ms Back=true Open HX.26=false Loading=false. Back 306.6ms / 271.9ms polls=1 Open present Back gone. Earlier click-wait Open wait=Back was 420/473ms (different ruler). All releases 1909 restored. Did not hang. vs prior Back 287–316ms. n=1 AX pid=3626.	output/verify-coda/20260815T0341Z-first-commit-cut	Open ok; Back still remount AX walk
2026-08-15T03:41Z	audit	Goal not complete	~300ms is the first Collection AX tree walk after remount (~54 Open album links), not live-pane fade, not 500ms router bound, not genre-tab remount. Keep-alive out. Pin out. Overlay CSS kept. Live-pane close kept (non-blocking). Desktop RM unverified. Compositor paint unverified. interrupt wait. No ignore-gate. NowPlayingView untouched.	output/verify-coda/20260815T0341Z-first-commit-cut	open
2026-08-15T03:45Z	experiment	Cut Collection virtualizer overscan from 3 rows to 1	TanStack overscan 3 mounted ~54 Open album links on Back (viewport plus three extra rows each side). One extra row keeps scroll from blanking. firstScreenGridItemCount documents the row math. No keep-alive. No pin.	src/ResponsiveVirtualGrid.tsx DEFAULT_GRID_OVERSCAN; ResponsiveVirtualGrid.test.tsx	kept
2026-08-15T03:45Z	verify	Cmd+R pid=3626 then Open/Back twice	Vite page reload index.html at 10:45:13 PM. Doctor connected=true Loading HX.26=false Open HX.26 present All releases 1909.	output/verify-coda/20260815T0345Z-overscan-1/00-doctor.txt	reload recorded
2026-08-15T03:45Z	measure	Open intact; Open-album AX links 54→36; Back still ~poll-1	open-1 65.0ms Back=true Open HX.26=false Loading=false. Back-1 301.9ms polls=1 dump 36 Open links. open-2 23.9ms. Back-2 247.0ms polls=1 dump 36 All releases 1909 restored. vs prior Back 272–307ms and ~54 Open links. n=1 AX pid=3626.	output/verify-coda/20260815T0345Z-overscan-1	Open ok; 36 Open links; Back-1 in band
2026-08-15T03:45Z	audit	Goal not complete	Overscan was part of the 54-card AX tree. 36 links remain so remount walk is still ~250–300ms. Keep-alive out. Pin out. Desktop RM unverified. Compositor paint unverified. interrupt wait. No ignore-gate. NowPlayingView untouched.	output/verify-coda/20260815T0345Z-overscan-1	open
2026-08-15T03:48Z	experiment	aria-hidden+inert overscan rows; keep overscan DOM for scroll	TanStack range is the viewport. Rows outside it stay mounted but leave the AX tree. Focused row stays exposed. Open HX.26 is first in-view card. overscan stays 1.	src/ResponsiveVirtualGrid.tsx isOverscanVirtualRow; viewTransitions.test.ts live-pane close RM	kept
2026-08-15T03:48Z	verify	Cmd+R pid=3626 then Open/Back twice	Vite page reload index.html at 10:48:13 PM after Fast Refresh invalidate. Doctor connected=true Loading HX.26=false Open HX.26 present All releases 1909.	output/verify-coda/20260815T0348Z-overscan-aria-hidden/00-doctor.txt	reload recorded
2026-08-15T03:48Z	measure	Open intact; Open-album AX links 36→27, not yet viewport-only	open-1 56.4ms Back=true Open HX.26=false Loading=false. Back-1 278.7ms polls=1 dump 27. open-2 11.8ms. Back-2 245.3ms polls=1 dump 27 All releases 1909 restored. vs prior Back 247–302ms and 36 Open links. n=1 AX pid=3626.	output/verify-coda/20260815T0348Z-overscan-aria-hidden	Open ok; 27 Open links; Back still remount
2026-08-15T03:48Z	audit	Goal not complete	Hide worked (not 36) but AX still lists 27 Open links vs ~8–12 viewport. Collection still remounts. Desktop RM unverified. Compositor paint unverified. interrupt wait. No ignore-gate. NowPlayingView untouched. Keep-alive out. Pin out. overscan=1.	output/verify-coda/20260815T0348Z-overscan-aria-hidden	open
2026-08-15T03:53Z	experiment	Remove leftover layout animation; keep transform/opacity	RadioCard hover tray no longer transition-[width]; width snaps. Selection pills use layout="position" so layoutId moves on transform only. Did not add springs. interrupt stays wait.	RadioPresentation.tsx; ScrollableSelectionRail.tsx; ScrollableLinkSelectionRail.tsx; LibraryScreenChrome.tsx	kept
2026-08-15T03:53Z	verify	Cmd+R pid=3626 then Open/Back twice	Vite page reload index.html at 10:53:21 PM. Doctor connected=true Loading HX.26=false Open HX.26 present All releases 1909.	output/verify-coda/20260815T0353Z-layout-compositor/00-doctor.txt	reload recorded
2026-08-15T03:53Z	measure	Open intact; Back did not hang; All releases 1909 restored	open-1 51.3ms Back=true Open HX.26=false Loading=false. Back-1 254.7ms polls=1 dump 27. open-2 13.2ms. Back-2 242.7ms polls=1 dump 27 All releases 1909 restored. vs prior Back 245–279ms. n=1 AX pid=3626.	output/verify-coda/20260815T0353Z-layout-compositor	Open ok; Back still remount AX
2026-08-15T03:53Z	audit	Goal not complete	Layout CSS width leftover fixed. Pills position-only. Queue/dialogs/toasts/live-pane already compositor. Shared VT .layout() morph left (product). Desktop RM unverified. Compositor paint unverified. Collection remount AX still 27 Open links. interrupt wait. No ignore-gate. Keep-alive out. Pin out. NowPlayingView untouched.	output/verify-coda/20260815T0353Z-layout-compositor	open
2026-08-15T03:55Z	verify	Cmd+R pid=3626 then drive album Discover Daily Radio queue Now Playing	Vite page reload index.html at 10:55:26 PM. Doctor connected=true. Named-control predicates, not title-only.	output/verify-coda/20260815T0355Z-surface-audit/00-doctor.txt	reload recorded
2026-08-15T03:55Z	measure	No hangs; Discover Back 676ms sluggish vs Radio close 253ms	album 67.4/257.1. Discover landing 534.4. Daily landing 258.2. Radio 285.5 show 298/253. Queue 197.4/111. NP 180.3/423.5 Radio restored. Discover detail 345.7/675.7. All releases 1909 restored. n=1 AX pid=3626.	output/verify-coda/20260815T0355Z-surface-audit	measured; Discover Back sluggish
2026-08-15T03:58Z	experiment	Live-pane close for Discover and Daily detail Back	Index origins use HTML hidden so VT morph snapshotted a display:none grid. Same live-pane transform/opacity path as album/radio close; still resolves after commit. interrupt wait. No new springs.	src/viewTransitions.ts isVirtualizedListCloseKind; viewTransitions.test.ts	kept
2026-08-15T03:58Z	verify	Cmd+R then Discover/Daily detail Open/Back	Vite page reload index.html at 10:57:56 PM. Doctor connected=true. Daily wait name is Back to Album of the Day not Back.	output/verify-coda/20260815T0358Z-discover-daily-close/00-doctor.txt	reload recorded
2026-08-15T03:58Z	measure	Discover Back 676→337ms; Daily article 201/130ms	discover open 346.5 back 337.4 Filter restored. Daily Kiwi Jr 201.2 Back to Album of the Day; back 129.5 archive restored. Collection All releases 1909 restored. n=1 AX pid=3626.	output/verify-coda/20260815T0358Z-discover-daily-close	Discover Back improved
2026-08-15T03:58Z	audit	Goal not complete	NP Back still 423ms (NowPlayingView untouched). Cold Discover landing 534ms. Desktop RM unverified. Compositor paint unverified. Collection remount AX remains. interrupt wait. Keep-alive out. Pin out.	output/verify-coda/20260815T0358Z-discover-daily-close	open
2026-08-15T04:01Z	experiment	Live-pane close for now-playing-close; open stays animateView	No now-playing-radio-close kind. Close skips VT snapshot like other detail closes. Open still morphs compact artwork. interrupt wait. NowPlayingView untouched.	src/viewTransitions.ts isVirtualizedListCloseKind; viewTransitions.test.ts	kept
2026-08-15T04:01Z	verify	Cmd+R pid=3626 NP from Radio then album sanity	Vite page reload index.html at 11:00:57 PM. Doctor connected=true Open Now Playing present.	output/verify-coda/20260815T0401Z-np-live-pane-close/00-doctor.txt	reload recorded
2026-08-15T04:01Z	measure	NP Back 423.5→393.5ms; album open intact	np-open 184.0ms Back=true Open NP=false. np-back 393.5ms Open NP=true Radio archive restored. album 56.9ms Back=true Open HX.26=false. album-back 248.3ms All releases 1909. Did not hang. n=1 AX pid=3626.	output/verify-coda/20260815T0401Z-np-live-pane-close	NP Back slightly faster
2026-08-15T04:01Z	audit	Goal not complete	NP Back still ~394ms (Radio AX + compact artwork return). Desktop RM unverified. Compositor paint unverified. Collection remount AX remains. interrupt wait. Keep-alive out. Pin out. NowPlayingView untouched.	output/verify-coda/20260815T0401Z-np-live-pane-close	open
2026-08-15T04:02Z	audit	Every close kind already live-pane; no leftover animateView closes	album/artist/playlist/radio/discover/daily/now-playing-close all isVirtualizedListCloseKind. Opens stay animateView. page-forward/back/crossfade live pane when routerOwnedPage. No now-playing-radio-close. No JS change.	src/viewTransitions.ts isVirtualizedListCloseKind	none
2026-08-15T04:02Z	verify	Cmd+R pid=3626 album Open/Back sanity	Vite page reload index.html at 11:02:27 PM. Doctor connected=true.	output/verify-coda/20260815T0402Z-close-kind-audit/00-doctor.txt	reload recorded
2026-08-15T04:02Z	measure	Album open intact; did not hang	open 51.6ms Back=true Open HX.26=false Loading=false. Back 255.3ms Open present All releases 1909 restored. n=1 AX pid=3626.	output/verify-coda/20260815T0402Z-close-kind-audit	Open ok
2026-08-15T04:02Z	audit	Goal not complete	Desktop RM unverified. Compositor paint unverified. Collection remount AX remains. NP Back ~394ms in WIP view. interrupt wait. Keep-alive out. Pin out. NowPlayingView untouched.	output/verify-coda/20260815T0402Z-close-kind-audit	open
2026-08-15T04:07Z	diagnose	NP Back waits on Radio/Collection remount AX, not leftover VT	now-playing-close already live-pane. update() calls history.back() immediately; awaitRouterBackAfterRender waits after onRendered. Compact Open Now Playing is after the remounted archive in the AX dump. WindowTitleController is not the ruler. NowPlayingView long-timeline rAF did not run (Communitism).	src/features/navigation/useDetailNavigationController.ts; PersistentPlayerDock.tsx; NowPlayingView.tsx	open
2026-08-15T04:07Z	experiment	Keep compact player mounted and hidden while Now Playing is open	PersistentPlayerDock returned null so CoverArt remounted on Back. Hide with hidden+inert+aria-hidden; contents when visible; mode=full while hidden so PlayerTrack identity survives. Not Radio keep-alive. interrupt wait.	src/features/player/PersistentPlayerDock.tsx; PersistentPlayerDock.test.tsx	kept
2026-08-15T04:07Z	verify	Cmd+R pid=3626 NP from Radio then Collection album sanity	Vite page reload index.html at 11:07:05 PM. Doctor connected=true Open Now Playing present Loading HX.26=false.	output/verify-coda/20260815T0407Z-np-player-persist/00-doctor.txt	reload recorded
2026-08-15T04:07Z	measure	NP Back still ~399ms; album open intact; hidden dock did not leak AX	np-open 317.1ms Back=true Open NP=false. np-back 398.5ms vs 393.5ms Open NP=true Radio archive restored. collection-np-back 462.5ms All releases 1909. album 55.6ms Back=true Open HX.26=false Loading=false. album-back 277.4ms All releases 1909. Did not hang. n=1 AX pid=3626.	output/verify-coda/20260815T0407Z-np-player-persist	NP Back unchanged
2026-08-15T04:07Z	audit	Goal not complete	NP Back still Radio/Collection remount AX (~399ms Radio, ~463ms Collection). Desktop RM unverified. Compositor paint unverified. interrupt wait. Keep-alive out. Pin out. NowPlayingView untouched.	output/verify-coda/20260815T0407Z-np-player-persist	open
2026-08-15T04:10Z	verify	Desktop Reduce Motion enable/drive/restore on pid 3626	Previous: reduceMotion unset, ReduceMotionEnabled=0, NSWorkspace=false. Wrote both keys + cfprefsd; NSWorkspace=true. Cmd+R. Drove Collection All releases open-first-album. Restored: deleted reduceMotion, ReduceMotionEnabled=0, NSWorkspace=false. Cmd+R. NowPlayingView untouched.	output/verify-coda/20260815T0410Z-desktop-rm	restored
2026-08-15T04:10Z	measure	WKWebView saw reduce; Open 1.2ms vs 57.6ms motion-on	RM open 1.2ms polls=1 Back=true Open HX.26=false Loading=false title Communitism→HX.26. Did not hang. RM Back 275.2ms remount AX. After restore Open 57.6ms polls=6 Back=true Open gone Loading=false Back 270.1ms All releases 1909. n=1 AX pid=3626.	output/verify-coda/20260815T0410Z-desktop-rm	WKWebView RM seen
2026-08-15T04:10Z	experiment	Exhaustive reduced-motion skip kinds plus CSS transition-duration zero	it.each now lists every CodaViewTransitionKind. CSS test also asserts transition-duration 0.01ms so queue drawer/pills CSS are covered. Live-pane/VT pointer-events already asserted. interrupt wait.	src/viewTransitions.test.ts	kept
2026-08-15T04:10Z	audit	Goal not complete	Desktop RM proven and restored. Compositor paint unverified. Collection remount AX still ~270ms. NP Back remount AX remains. interrupt wait. Keep-alive out. Pin out. NowPlayingView untouched.	output/verify-coda/20260815T0410Z-desktop-rm	open
2026-08-15T04:15Z	verify	screencapture -l Coda Dev window 18608	could not create image from window (exit 1). No PNG. TCC Screen Recording denied; did not fight.	output/verify-coda/20260815T0415Z-compositor-paint/01-screencapture-idle.err	TCC blocker
2026-08-15T04:17Z	measure	getAnimations during album open	VT groups animated width,height,backdropFilter,transform. Title old/new opacity only. Live-pane source is transform+opacity; sample missed .library-pane.	output/verify-coda/20260815T0415Z-compositor-paint/04-compositor-audit-all.txt	layout keys on morph
2026-08-15T04:21Z	experiment	Rewrite VT group keyframes to transform-only	Bake width/height into scale via setKeyframes. After rewrite: groups transform only; title opacity only. Temp audit then removed. interrupt wait.	src/compositorViewTransition.ts; motionViewTransitions.ts	kept
2026-08-15T04:22Z	verify	Cmd+R pid=3626 Open/Back twice after log removal	Vite page reload 11:22:28 PM. Doctor connected=true Loading false.	output/verify-coda/20260815T0415Z-compositor-paint/06-doctor.txt	reload recorded
2026-08-15T04:22Z	measure	Open intact; Back remount AX unchanged	open-1 54.3ms Back=true Open HX.26=false Loading=false. back-1 255.7ms. open-2 36.1ms. back-2 244.0ms All releases 1909. Did not hang. n=1 AX pid=3626.	output/verify-coda/20260815T0415Z-compositor-paint	Open ok; Back remount
2026-08-15T04:22Z	audit	Goal not complete	Keyframe evidence after rewrite is transform/opacity. No pixel paint (TCC). Remount AX Back ~244–256ms. interrupt wait. Keep-alive out. Pin out. NowPlayingView untouched.	output/verify-coda/20260815T0415Z-compositor-paint	open
2026-08-15T04:26Z	experiment	Rewrite all animateView detail-open VT layers, not only album groups	Any ::view-transition* frame with width/height/inset/backdropFilter/filter is flattened to transform/opacity. backdropFilter dropped. TDD covers album/artist/playlist/radio/discover/daily/now-playing group names. interrupt wait.	src/compositorViewTransition.ts; compositorViewTransition.test.ts	kept
2026-08-15T04:30Z	measure	getAnimations after rewrite is transform/opacity only	album groups before: backdropFilter+width+height+transform; after: transform. artist artwork/name groups same. title/name old/new opacity. artist detail-surface already transform. Temp log removed.	output/verify-coda/20260815T0426Z-detail-open-rewrite/15-keys-summary.txt	VERIFIED keys
2026-08-15T04:31Z	verify	Cmd+R pid=3626 Open x2, artist from album, Back to Collection	Vite page reload 11:31:02 PM. Doctor connected=true Loading false. Artist target is Knxwledge.	output/verify-coda/20260815T0426Z-detail-open-rewrite/16-doctor.txt	reload recorded
2026-08-15T04:31Z	measure	Did not hang; All releases 1909 restored	open-1 48.7ms Back=true Open HX.26=false Loading=false. back-1 291.7ms. open-2 26.9ms. artist 150.4ms Opening artist=false. artist-back 194.4ms. collection-back 249.2ms Open present All releases 1909. n=1 AX pid=3626.	output/verify-coda/20260815T0426Z-detail-open-rewrite	Open/artist ok; Back remount
2026-08-15T04:31Z	audit	Goal not complete	Kinds rewritten: album/artist/playlist/radio/discover/daily/now-playing-open. Runtime keys sampled for album+artist only. No pixel TCC. Remount AX Back ~249–292ms. playlist/radio/discover/daily/NP opens TDD-only. interrupt wait. Keep-alive out. Pin out. NowPlayingView untouched.	output/verify-coda/20260815T0426Z-detail-open-rewrite	open
2026-08-15T04:41Z	verify	Triage 16 App/SavedLibrary failures; fix ours only	Href mode, NP/Discover VT counts, artist search, artwork/surprise prefetch, playlist grid measurement cache. Left shuffle fetchAlbum counts and Now Playing src WIP. NowPlayingView untouched.	output/verify-coda/20260815T0441Z-test-triage	ours fixed; WIP left
2026-08-15T04:42Z	measure	Discover open uses animateView; after-rewrite keys not captured	discover-detail-enter logged. Builder await may not reach rewrite before next nav. Album/artist keys still transform/opacity from prior run. Temp log removed.	output/verify-coda/20260815T0441Z-test-triage/04-discover-open.txt	INCONCLUSIVE keys
2026-08-15T04:43Z	verify	Cmd+R pid=3626 album Open sanity	Vite reload 11:43:30 PM. Doctor connected=true.	output/verify-coda/20260815T0441Z-test-triage/08-doctor.txt	reload recorded
2026-08-15T04:43Z	measure	Open intact; All releases 1909 restored	open 43.6ms Back=true Open HX.26=false Loading=false. Back 250.3ms Open present All releases 1909. Did not hang. n=1 AX pid=3626.	output/verify-coda/20260815T0441Z-test-triage	Open ok
2026-08-15T04:43Z	audit	Goal not complete	No pixel TCC. Remount AX Back ~250ms. Discover rewrite timing unverified. Shuffle prefetch tests still fail. interrupt wait. Keep-alive out. Pin out. NowPlayingView untouched.	output/verify-coda/20260815T0441Z-test-triage	open
2026-08-15T04:53Z	verify	Shuffle tests assert product not exact fetchAlbum counts	Contextual shuffle, wrap Next, paused Next, parallel hydration (+ tail advance, Surprise Me unavailable). Unique IDs ⊆ scope, concurrency ≤ 6, Next/wrap/Clear next. Prefetch stays. NowPlayingView untouched.
2026-08-15T04:53Z	measure	Album Open sanity; All releases restored	open 74.4ms Back=true Open HX.26=false Loading=false. Back 281.4ms Open present. All releases restored. n=1 AX pid=3626 attached.
2026-08-15T04:53Z	audit	Goal not complete	TCC pixels, remount AX, NP WIP still open. interrupt wait. Keep-alive out. Pin out. NowPlayingView untouched.
2026-08-15T05:00Z	experiment	Two-phase Collection remount: one Open card then virtualized grid	First commit after album-close rendered one real Open control; rAF+startTransition mounted the grid. TDD first-paint/later-grid passed. Not keep-alive, not pin.
2026-08-15T05:00Z	measure	Back not faster than 250–280ms; first try slower	Cmd+R pid=3626. Open 40.4ms / 25.8ms Back=true Open HX.26=false. Back 342.5ms (polls=2) and 238.3ms (polls=1). Neither <200ms. Open did not hang. All releases restored.
2026-08-15T05:01Z	experiment	REVERTED two-phase remount	Back 342.5ms worse; 238.3ms not clearly faster. Restored ReleaseResults/workspace. Deleted collectionReturnPaint. Post-revert Cmd+R 12:01:08 connected=true Open HX.26 present All releases. pid=3626 attached.
2026-08-15T05:01Z	audit	Goal not complete	AX Back still ~250–340ms (whole first tree). No pixel TCC. Remount AX open. NP WIP. interrupt wait. Keep-alive out. Pin out. NowPlayingView untouched.
2026-08-15T05:06Z	audit	Current-tree motion audit; leftover NP root snapshot suppressed	now-playing-open/close added to html view-transition-name:none. interrupt wait, live-pane close, RM skip all kinds, rewrite, 500ms bound, pointer-events none remain. No keep-alive/pin/two-phase. NowPlayingView untouched.
2026-08-15T05:06Z	measure	Album Open sanity after Cmd+R	open 66.9ms / 29.1ms Back=true Open HX.26=false. Back 268.6ms / 256.4ms Open present. All releases restored. n=1 AX pid=3626. No hang. No compositor-audit after 12:06:14 reload.
2026-08-15T05:06Z	audit	Goal not complete	TCC pixels unverified. Remount AX Back ~256–269ms. Discover rewrite timing unverified. Desktop RM unverified. interrupt wait. Keep-alive out. Pin out. Two-phase out.
2026-08-15T05:13Z	measure	Radio show open getAnimations after animateView	Kind radio-detail. Before ready-hook: group keys backdropFilter/height/transform/width. After ready+pending rewrite: transform and opacity only. Builder-await rewrite still missed. Temp log removed.
2026-08-15T05:13Z	fix	Rewrite on activeViewTransition.ready and first pending rAFs	animateView builder await was too late for one-frame Radio morphs. interrupt wait kept. NowPlayingView untouched.
2026-08-15T05:13Z	measure	Album Open sanity; Collection + All releases restored	open 37.3ms Back=true Open HX.26=false Loading=false. n=1 AX pid=3626. No sample log after 12:27:21 clean reload.
2026-08-15T05:13Z	audit	Goal not complete	TCC pixels unverified. Remount AX unverified. Discover/playlist/daily rewrite unverified. interrupt wait. Keep-alive out. Pin out. Two-phase out.
2026-08-15T05:28Z	measure	Discover and Daily getAnimations after animateView	discover-detail (EP2) and daily-detail (Kiwi Jr) keys transform/opacity only. Same ready+rAF rewrite. Playlist unverified (no AX rows). Temp log removed.
2026-08-15T05:28Z	measure	Album Open sanity; All releases restored	open 35.7ms Back=true Open HX.26=false Loading=false. n=1 AX pid=3626. No sample log after 12:31:58 clean reload.
2026-08-15T05:28Z	audit	Goal not complete	TCC pixels unverified. Remount AX unverified. Playlist rewrite unverified. interrupt wait. Keep-alive out. NowPlayingView untouched.
2026-08-15T05:32Z	measure	Playlist rewrite skipped; no playlist in this library	Playlists: Create+Refresh present, no AX rows. Favorites: albums/tracks, no Add to playlist in AX. Did not create data. No temp log.
2026-08-15T05:32Z	measure	Album Open sanity; All releases restored	open 35.6ms Back=true Open HX.26=false Loading=false. n=1 AX pid=3626.
2026-08-15T05:32Z	audit	Goal not complete	TCC pixels unverified. Remount AX unverified. Playlist rewrite unverified (empty library). interrupt wait. Keep-alive out. NowPlayingView untouched.
2026-08-15T05:36Z	measure	Now Playing open getAnimations after animateView	now-playing-open keys transform/opacity only (artwork group transform; details/header opacity). Ready+rAF rewrite. Temp log removed.
2026-08-15T05:36Z	measure	Album Open sanity; All releases restored	open 35.9ms Back=true Open HX.26=false Loading=false. n=1 AX pid=3626.
2026-08-15T05:36Z	audit	Goal not complete	TCC pixels unverified. Remount AX unverified. Playlist desktop rewrite still empty-library. interrupt wait. Keep-alive out. NowPlayingView untouched.
2026-08-15T05:38Z	verify	screencapture -l Coda Dev window 18608 after album Open	could not create image from window (exit 1). No PNG. TCC Screen Recording denied; did not retry.
2026-08-15T05:38Z	measure	Album Open on same drive; All releases restored	open 43.9ms Back=true Open HX.26=false. n=1 AX pid=3626. No second capture.
2026-08-15T05:38Z	audit	Goal not complete	TCC pixels blocked. Remount AX unverified. interrupt wait. Keep-alive out. NowPlayingView untouched.
